year,median_ratio_national,mean_ratio_national,n_cities,pct_cities_ratio_above_5,pct_cities_ratio_above_10
2010,3.21,3.45,6187,8.3,0.7
2011,3.18,3.41,6187,7.9,0.6
2012,3.24,3.48,6199,8.6,0.8
2013,3.35,3.61,6204,9.8,1.0
2014,3.44,3.71,6211,11.2,1.2
2015,3.55,3.83,6218,13.1,1.5
2016,3.68,3.98,6224,15.4,1.8
2017,3.82,4.14,6231,17.9,2.2
2018,3.91,4.24,6238,19.6,2.6
2019,3.99,4.34,6241,21.3,2.9
2020,4.14,4.52,6244,24.7,3.4
2021,4.53,4.97,6247,33.2,5.1
2022,4.89,5.38,6249,42.1,7.8
2023,5.09,5.61,6251,48.6,9.7
  
